x,y,z,atividade
-0.24,-0.32,0.51,Mouse
-0.24,-0.29,0.51,Mouse
-0.24,-0.32,0.49,Mouse
-0.25,-0.32,0.50,Mouse
-0.25,-0.34,0.48,Mouse
-0.24,-0.31,0.49,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.30,0.50,Mouse
-0.24,-0.31,0.49,Mouse
-0.24,-0.30,0.50,Mouse
-0.25,-0.31,0.50,Mouse
-0.25,-0.30,0.48,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.23,-0.28,0.51,Mouse
-0.23,-0.27,0.50,Mouse
-0.24,-0.27,0.50,Mouse
-0.24,-0.31,0.50,Mouse
-0.24,-0.31,0.51,Mouse
-0.24,-0.30,0.50,Mouse
-0.23,-0.26,0.52,Mouse
-0.24,-0.25,0.52,Mouse
-0.23,-0.25,0.52,Mouse
-0.26,-0.25,0.50,Mouse
-0.24,-0.24,0.52,Mouse
-0.24,-0.25,0.52,Mouse
-0.25,-0.26,0.50,Mouse
-0.23,-0.28,0.51,Mouse
-0.25,-0.27,0.52,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.26,0.52,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.23,-0.25,0.52,Mouse
-0.25,-0.27,0.52,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.23,-0.26,0.51,Mouse
-0.24,-0.25,0.52,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.25,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.29,0.50,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.23,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.27,0.52,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.27,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.27,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.26,0.52,Mouse
-0.23,-0.26,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.23,-0.27,0.52,Mouse
-0.23,-0.29,0.51,Mouse
-0.28,-0.44,0.43,Mouse
-0.23,-0.40,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.29,0.50,Mouse
-0.24,-0.27,0.51,Mouse
-0.24,-0.28,0.50,Mouse
-0.25,-0.25,0.52,Mouse
-0.25,-0.26,0.52,Mouse
-0.23,-0.27,0.51,Mouse
-0.25,-0.26,0.52,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.24,0.52,Mouse
-0.25,-0.24,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.25,0.50,Mouse
-0.23,-0.26,0.52,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.23,0.53,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.24,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.28,0.52,Mouse
-0.24,-0.26,0.52,Mouse
-0.24,-0.25,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.24,-0.25,0.52,Mouse
-0.24,-0.30,0.51,Mouse
-0.25,-0.33,0.49,Mouse
-0.26,-0.36,0.49,Mouse
-0.25,-0.28,0.51,Mouse
-0.24,-0.30,0.51,Mouse
-0.27,-0.30,0.50,Mouse
-0.24,-0.34,0.48,Mouse
-0.26,-0.33,0.49,Mouse
-0.25,-0.31,0.49,Mouse
-0.24,-0.29,0.51,Mouse
-0.24,-0.17,0.53,Mouse
-0.24,-0.10,0.53,Mouse
-0.24,-0.18,0.53,Mouse
-0.26,-0.19,0.52,Mouse
-0.25,-0.21,0.52,Mouse
-0.24,-0.22,0.52,Mouse
-0.24,-0.22,0.52,Mouse
-0.24,-0.21,0.53,Mouse
-0.25,-0.23,0.52,Mouse
-0.25,-0.24,0.52,Mouse
-0.30,-0.21,0.46,Mouse
-0.26,-0.15,0.53,Mouse
-0.20,-0.15,0.54,Mouse
-0.25,-0.24,0.51,Mouse
-0.26,-0.24,0.50,Mouse
-0.24,-0.23,0.52,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.25,0.51,Mouse
-0.25,-0.24,0.52,Mouse
-0.24,-0.22,0.52,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.29,0.51,Mouse
-0.26,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.28,0.50,Mouse
-0.24,-0.27,0.52,Mouse
-0.24,-0.26,0.50,Mouse
-0.25,-0.25,0.52,Mouse
-0.25,-0.23,0.52,Mouse
-0.24,-0.23,0.52,Mouse
-0.25,-0.25,0.51,Mouse
-0.24,-0.24,0.52,Mouse
-0.24,-0.22,0.52,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.26,0.50,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.26,0.52,Mouse
-0.24,-0.28,0.52,Mouse
-0.25,-0.23,0.53,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.25,0.52,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.24,0.52,Mouse
-0.25,-0.23,0.51,Mouse
-0.25,-0.24,0.52,Mouse
-0.26,-0.24,0.48,Mouse
-0.25,-0.26,0.52,Mouse
-0.27,-0.27,0.49,Mouse
-0.26,-0.26,0.51,Mouse
-0.18,-0.14,0.57,Mouse
-0.23,-0.20,0.52,Mouse
-0.25,-0.20,0.53,Mouse
-0.24,-0.20,0.53,Mouse
-0.24,-0.23,0.52,Mouse
-0.24,-0.22,0.51,Mouse
-0.24,-0.20,0.53,Mouse
-0.24,-0.21,0.53,Mouse
-0.24,-0.22,0.53,Mouse
-0.24,-0.22,0.52,Mouse
-0.25,-0.21,0.52,Mouse
-0.24,-0.23,0.52,Mouse
-0.25,-0.23,0.52,Mouse
-0.25,-0.24,0.51,Mouse
-0.24,-0.22,0.52,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.25,0.53,Mouse
-0.24,-0.25,0.51,Mouse
-0.25,-0.24,0.52,Mouse
-0.25,-0.24,0.52,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.29,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.26,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.23,-0.26,0.52,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.25,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.25,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.28,0.52,Mouse
-0.24,-0.32,0.50,Mouse
-0.26,-0.28,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.24,-0.30,0.50,Mouse
-0.25,-0.31,0.50,Mouse
-0.24,-0.30,0.49,Mouse
-0.25,-0.32,0.49,Mouse
-0.24,-0.34,0.48,Mouse
-0.25,-0.37,0.48,Mouse
-0.25,-0.35,0.48,Mouse
-0.24,-0.33,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.30,0.50,Mouse
-0.24,-0.28,0.50,Mouse
-0.25,-0.33,0.49,Mouse
-0.25,-0.22,0.53,Mouse
-0.24,-0.24,0.52,Mouse
-0.24,-0.28,0.49,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.28,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.31,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.29,0.49,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.34,0.49,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.31,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.31,0.49,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.24,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.29,0.51,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.49,Mouse
-0.25,-0.30,0.49,Mouse
-0.24,-0.31,0.51,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.31,0.48,Mouse
-0.24,-0.30,0.50,Mouse
-0.24,-0.32,0.49,Mouse
-0.24,-0.26,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.24,-0.30,0.51,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.30,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.31,0.48,Mouse
-0.25,-0.31,0.50,Mouse
-0.26,-0.31,0.49,Mouse
-0.25,-0.30,0.49,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.30,0.50,Mouse
-0.26,-0.30,0.50,Mouse
-0.25,-0.30,0.49,Mouse
-0.24,-0.30,0.50,Mouse
-0.25,-0.30,0.49,Mouse
-0.26,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.28,0.51,Mouse
-0.25,-0.31,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.31,0.50,Mouse
-0.25,-0.31,0.50,Mouse
-0.25,-0.32,0.50,Mouse
-0.25,-0.30,0.49,Mouse
-0.26,-0.28,0.50,Mouse
-0.25,-0.24,0.51,Mouse
-0.26,-0.30,0.49,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.30,0.51,Mouse
-0.25,-0.29,0.50,Mouse
-0.26,-0.28,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.29,0.49,Mouse
-0.24,-0.28,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.29,0.49,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.24,-0.27,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.29,0.49,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.24,-0.28,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.26,-0.29,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.26,-0.29,0.50,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.28,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.27,0.50,Mouse
-0.24,-0.26,0.50,Mouse
-0.25,-0.24,0.51,Mouse
-0.25,-0.24,0.51,Mouse
-0.25,-0.24,0.52,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.26,-0.25,0.52,Mouse
-0.25,-0.26,0.51,Mouse
-0.26,-0.26,0.50,Mouse
-0.25,-0.26,0.50,Mouse
-0.25,-0.29,0.51,Mouse
-0.25,-0.26,0.50,Mouse
-0.24,-0.26,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.29,0.49,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.26,-0.26,0.50,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.27,0.50,Mouse
-0.23,-0.27,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.24,-0.27,0.50,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.26,0.52,Mouse
-0.25,-0.29,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.24,-0.27,0.50,Mouse
-0.25,-0.27,0.50,Mouse
-0.26,-0.25,0.51,Mouse
-0.25,-0.26,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.26,-0.24,0.52,Mouse
-0.25,-0.24,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.25,0.51,Mouse
-0.25,-0.24,0.51,Mouse
-0.25,-0.27,0.52,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.29,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.26,-0.28,0.51,Mouse
-0.25,-0.27,0.49,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.22,-0.30,0.50,Mouse
-0.25,-0.27,0.51,Mouse
-0.26,-0.28,0.49,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.27,-0.29,0.50,Mouse
-0.26,-0.28,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.24,-0.28,0.52,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.31,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.27,0.51,Mouse
-0.23,-0.29,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.30,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.31,0.49,Mouse
-0.23,-0.28,0.52,Mouse
-0.24,-0.28,0.51,Mouse
-0.24,-0.28,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.24,-0.27,0.51,Mouse
-0.25,-0.25,0.53,Mouse
-0.25,-0.28,0.49,Mouse
-0.25,-0.31,0.50,Mouse
-0.24,-0.29,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.29,0.50,Mouse
-0.26,-0.28,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.24,-0.31,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.26,-0.31,0.49,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.29,0.51,Mouse
-0.25,-0.29,0.49,Mouse
-0.25,-0.30,0.49,Mouse
-0.25,-0.30,0.50,Mouse
-0.23,-0.28,0.50,Mouse
-0.26,-0.28,0.50,Mouse
-0.25,-0.30,0.49,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.29,0.51,Mouse
-0.26,-0.29,0.51,Mouse
-0.25,-0.31,0.50,Mouse
-0.25,-0.31,0.49,Mouse
-0.26,-0.29,0.49,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.26,-0.30,0.50,Mouse
-0.25,-0.29,0.51,Mouse
-0.24,-0.28,0.50,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.28,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.30,0.50,Mouse
-0.24,-0.29,0.51,Mouse
-0.25,-0.33,0.49,Mouse
-0.25,-0.30,0.50,Mouse
-0.25,-0.29,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.23,-0.29,0.50,Mouse
-0.26,-0.26,0.51,Mouse
-0.25,-0.26,0.52,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.27,0.51,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.26,0.51,Mouse
-0.24,-0.27,0.50,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.26,0.52,Mouse
-0.25,-0.28,0.51,Mouse
-0.24,-0.28,0.51,Mouse
-0.25,-0.28,0.51,Mouse
-0.25,-0.27,0.50,Mouse
-0.25,-0.26,0.50,Mouse
-0.24,-0.26,0.51,Mouse
-0.25,-0.26,0.51,Mouse
-0.25,-0.28,0.50,Mouse
