x,y,z,atividade
-0.98,0.05,-0.15,Escrevendo
-0.90,0.14,-0.16,Escrevendo
-1.05,0.10,-0.14,Escrevendo
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.20,Repousando
-0.95,-0.02,-0.22,Repousando
-0.95,-0.01,-0.22,Repousando
-0.95,-0.02,-0.21,Repousando
-0.96,-0.02,-0.21,Repousando
-0.96,-0.02,-0.21,Repousando
-0.94,-0.02,-0.21,Repousando
-0.95,-0.02,-0.22,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.01,-0.21,Repousando
-0.95,-0.03,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.01,-0.22,Repousando
-0.95,-0.03,-0.22,Repousando
-0.95,-0.02,-0.21,Repousando
-0.96,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.94,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.96,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.22,Repousando
-0.94,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.01,-0.20,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.96,-0.02,-0.22,Repousando
-0.95,-0.01,-0.21,Repousando
-0.96,-0.02,-0.21,Repousando
-0.95,-0.02,-0.21,Repousando
-0.94,-0.02,-0.21,Repousando
